File,Line
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,96
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,67
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,68
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,103
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,104
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,48
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,49
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,80
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,52
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,53
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,86
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,87
2009-07-07__85__src__test__org__apache__commons__math__FunctionEvaluationExceptionTest.java,62
2006-06-05__106__src__test__org__apache__commons__math__random__ValueServerTest.java,33
2007-06-14__104__src__java__org__apache__commons__math__analysis__SimpsonIntegrator.java,102
2007-06-14__104__src__java__org__apache__commons__math__analysis__SimpsonIntegrator.java,73
2007-06-14__104__src__java__org__apache__commons__math__analysis__SimpsonIntegrator.java,82
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,192
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,37
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,38
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,39
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,40
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,41
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,42
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,43
2008-06-16__98__src__test__org__apache__commons__math__stat__FrequencyTest.java,134
2011-11-27__43__src__main__java__org__apache__commons__math__linear__SymmLQ.java,530
2011-11-27__43__src__main__java__org__apache__commons__math__linear__SymmLQ.java,276
2011-11-27__43__src__main__java__org__apache__commons__math__linear__SymmLQ.java,285
2011-11-27__43__src__main__java__org__apache__commons__math__linear__SymmLQ.java,416
2011-11-27__43__src__main__java__org__apache__commons__math__linear__SymmLQ.java,456
2006-06-05__106__src__test__org__apache__commons__math__stat__descriptive__MixedListUnivariateImplTest.java,103
2006-06-05__106__src__test__org__apache__commons__math__stat__descriptive__MixedListUnivariateImplTest.java,45
2009-03-29__91__src__test__org__apache__commons__math__util__DefaultTransformerTest.java,91
2008-01-07__102__src__test__org__apache__commons__math__ode__GraggBulirschStoerIntegratorTest.java,145
2006-06-05__106__src__java__org__apache__commons__math__stat__inference__TTestImpl.java,152
2008-06-16__98__src__java__org__apache__commons__math__ode__AbstractStepInterpolator.java,45
2008-06-16__98__src__java__org__apache__commons__math__ode__AbstractStepInterpolator.java,48
2006-06-05__106__src__test__org__apache__commons__math__analysis__SimpsonIntegratorTest.java,103
2006-06-05__106__src__test__org__apache__commons__math__analysis__SimpsonIntegratorTest.java,85
2006-06-05__106__src__test__org__apache__commons__math__analysis__SimpsonIntegratorTest.java,94
2011-01-17__59__src__test__java__org__apache__commons__math__distribution__BinomialDistributionTest.java,116
2010-04-25__70__src__main__java__org__apache__commons__math__random__RandomDataImpl.java,183
2006-06-05__106__src__java__org__apache__commons__math__distribution__TDistributionImpl.java,53
2009-10-31__81__src__test__java__org__apache__commons__math__ode__nonstiff__HighamHall54IntegratorTest.java,393
2010-04-25__70__src__main__java__org__apache__commons__math__ode__nonstiff__GraggBulirschStoerStepInterpolator.java,299
2007-07-16__103__src__test__org__apache__commons__math__analysis__TrapezoidIntegratorTest.java,104
2007-07-16__103__src__test__org__apache__commons__math__analysis__TrapezoidIntegratorTest.java,86
2007-07-16__103__src__test__org__apache__commons__math__analysis__TrapezoidIntegratorTest.java,95
2009-12-28__77__src__test__java__org__apache__commons__math__stat__regression__OLSMultipleLinearRegressionTest.java,190
2009-12-28__77__src__test__java__org__apache__commons__math__stat__regression__OLSMultipleLinearRegressionTest.java,125
2009-10-31__81__src__main__java__org__apache__commons__math__optimization__linear__SimplexSolver.java,39
2009-10-31__81__src__main__java__org__apache__commons__math__optimization__linear__SimplexSolver.java,52
2009-12-28__77__src__main__java__org__apache__commons__math__optimization__general__LevenbergMarquardtOptimizer.java,423
2009-12-28__77__src__main__java__org__apache__commons__math__optimization__general__LevenbergMarquardtOptimizer.java,294
2009-07-07__85__src__java__org__apache__commons__math__util__CompositeFormat.java,122
2012-01-25__37__src__main__java__org__apache__commons__math__stat__descriptive__summary__Product.java,68
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,517
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,537
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,539
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,543
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,1080
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,1086
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,575
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,1088
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,1089
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,1092
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,1093
2009-07-07__85__src__test__org__apache__commons__math__linear__BlockRealMatrixTest.java,1100
