File,Line
trunk__experimental__org__jfree__experimental__chart__plot__dial__junit__StandardDialRangeTests.java,105
trunk__experimental__org__jfree__experimental__chart__plot__dial__junit__StandardDialRangeTests.java,107
trunk__experimental__org__jfree__experimental__chart__plot__dial__StandardDialRange.java,329
trunk__source__org__jfree__chart__renderer__category__AbstractCategoryItemRenderer.java,1440
trunk__tests__org__jfree__data__statistics__junit__DefaultStatisticalCategoryDatasetTests.java,117
trunk__tests__org__jfree__data__statistics__junit__DefaultStatisticalCategoryDatasetTests.java,119
trunk__source__org__jfree__chart__entity__ChartEntity.java,320
trunk__source__org__jfree__chart__entity__ChartEntity.java,322
trunk__source__org__jfree__chart__entity__ChartEntity.java,358
trunk__source__org__jfree__chart__entity__ChartEntity.java,371
trunk__source__org__jfree__chart__entity__ChartEntity.java,373
trunk__source__org__jfree__chart__entity__ChartEntity.java,318
trunk__tests__org__jfree__chart__renderer__category__junit__StatisticalBarRendererTests.java,144
trunk__tests__org__jfree__data__time__junit__WeekTests.java,292
trunk__tests__org__jfree__data__time__junit__WeekTests.java,294
trunk__tests__org__jfree__data__time__junit__WeekTests.java,293
trunk__tests__org__jfree__data__time__junit__WeekTests.java,305
trunk__tests__org__jfree__data__time__junit__WeekTests.java,306
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,212
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,219
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,357
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,358
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,359
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,360
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,364
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,362
trunk__source__org__jfree__chart__renderer__category__GroupedStackedBarRenderer.java,363
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,295
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,297
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,303
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,304
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,320
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,321
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,322
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,323
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,328
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,359
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,628
trunk__tests__org__jfree__data__time__junit__TimeSeriesTests.java,638
trunk__tests__org__jfree__data__time__junit__DayTests.java,61
trunk__tests__org__jfree__data__time__junit__MonthTests.java,168
trunk__tests__org__jfree__data__time__junit__MonthTests.java,149
trunk__experimental__org__jfree__experimental__chart__plot__dial__DialPointer.java,85
trunk__tests__org__jfree__data__time__junit__QuarterTests.java,162
trunk__tests__org__jfree__data__time__junit__QuarterTests.java,143
trunk__experimental__org__jfree__experimental__chart__plot__dial__DialValueIndicator.java,127
trunk__source__org__jfree__data__DefaultKeyedValues.java,83
trunk__source__org__jfree__data__DefaultKeyedValues.java,84
trunk__source__org__jfree__data__statistics__DefaultStatisticalCategoryDataset.java,108
trunk__source__org__jfree__data__statistics__DefaultStatisticalCategoryDataset.java,123
trunk__source__org__jfree__data__statistics__DefaultBoxAndWhiskerCategoryDataset.java,77
trunk__source__org__jfree__data__statistics__DefaultBoxAndWhiskerCategoryDataset.java,80
trunk__source__org__jfree__data__statistics__DefaultBoxAndWhiskerCategoryDataset.java,90
trunk__source__org__jfree__data__statistics__DefaultBoxAndWhiskerCategoryDataset.java,91
trunk__source__org__jfree__data__statistics__DefaultBoxAndWhiskerCategoryDataset.java,105
trunk__source__org__jfree__chart__util__SerialUtilities.java,331
trunk__source__org__jfree__data__time__TimeSeries.java,971
trunk__source__org__jfree__data__time__TimeSeries.java,974
trunk__source__org__jfree__data__time__TimeSeries.java,977
trunk__source__org__jfree__data__time__TimeSeries.java,856
trunk__tests__org__jfree__chart__axis__junit__AxisTests.java,206
trunk__tests__org__jfree__chart__axis__junit__AxisTests.java,207
trunk__tests__org__jfree__chart__axis__junit__AxisTests.java,208
trunk__tests__org__jfree__chart__axis__junit__AxisTests.java,209
trunk__swt__org__jfree__experimental__swt__SWTGraphics2D.java,444
trunk__swt__org__jfree__experimental__swt__SWTGraphics2D.java,695
trunk__swt__org__jfree__experimental__swt__SWTGraphics2D.java,979
trunk__swt__org__jfree__experimental__swt__SWTGraphics2D.java,1028
trunk__swt__org__jfree__experimental__swt__SWTGraphics2D.java,1173
trunk__source__org__jfree__chart__imagemap__ImageMapUtilities.java,177
trunk__source__org__jfree__chart__renderer__category__StatisticalBarRenderer.java,458
trunk__tests__org__jfree__chart__renderer__category__junit__IntervalBarRendererTests.java,143
trunk__tests__org__jfree__chart__renderer__category__junit__IntervalBarRendererTests.java,145
trunk__tests__org__jfree__chart__plot__junit__CategoryPlotTests.java,122
trunk__source__org__jfree__chart__renderer__category__LineAndShapeRenderer.java,730
trunk__experimental__org__jfree__experimental__chart__plot__dial__junit__DialValueIndicatorTests.java,93
trunk__source__org__jfree__chart__util__ShapeUtilities.java,274
trunk__swt__org__jfree__experimental__chart__swt__ChartComposite.java,1687
trunk__swt__org__jfree__experimental__chart__swt__ChartComposite.java,1605
trunk__source__org__jfree__chart__LegendItemCollection.java,148
trunk__source__org__jfree__data__general__DatasetUtilities.java,825
trunk__source__org__jfree__data__general__DatasetUtilities.java,982
trunk__source__org__jfree__data__category__DefaultIntervalCategoryDataset.java,199
trunk__source__org__jfree__data__category__DefaultIntervalCategoryDataset.java,200
trunk__source__org__jfree__data__category__DefaultIntervalCategoryDataset.java,201
trunk__source__org__jfree__data__category__DefaultIntervalCategoryDataset.java,202
trunk__source__org__jfree__chart__block__BorderArrangement.java,514
trunk__source__org__jfree__chart__block__BorderArrangement.java,518
trunk__source__org__jfree__chart__block__BorderArrangement.java,521
trunk__source__org__jfree__chart__block__BorderArrangement.java,524
trunk__source__org__jfree__chart__block__BorderArrangement.java,527
trunk__source__org__jfree__chart__block__BorderArrangement.java,530
trunk__source__org__jfree__chart__block__BorderArrangement.java,256
trunk__source__org__jfree__chart__block__BorderArrangement.java,495
trunk__source__org__jfree__chart__block__BorderArrangement.java,496
trunk__source__org__jfree__chart__block__BorderArrangement.java,497
trunk__source__org__jfree__chart__block__BorderArrangement.java,509
trunk__source__org__jfree__chart__block__BorderArrangement.java,511
trunk__source__org__jfree__chart__renderer__category__BoxAndWhiskerRenderer.java,806
trunk__source__org__jfree__chart__renderer__category__BoxAndWhiskerRenderer.java,809
trunk__source__org__jfree__chart__plot__PieLabelDistributor.java,190
trunk__tests__org__jfree__chart__plot__junit__CategoryMarkerTests.java,67
